raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
mci_first_period,mci_first_period_age,At what age did you get your first menstrual period?,rename,2,NA,,NA,NA,NA,NA
mci_period_peers,mci_period_time_compare,"Compared to other girls your age, did your period come...",recode,2,NA,,NA,NA,NA,NA
mci_breast_devel,mci_first_breasts,At what age did you first notice breast development?,rename,2,NA,,NA,NA,NA,NA
mci_breasts_peers,mci_breasts_time_compare,"Compared to other girls your age, did your breasts develop...",recode,2,NA,,NA,NA,NA,NA
mci_3,mci_birth_control,Are you on any form of birth control?,rename,2,NA,,NA,NA,NA,NA
mci_3i,mci_birth_control_type,"If yes, what type of birth control (i.e.- birth control pill, shot, etc.)?",rename,2,NA,,NA,NA,NA,NA
mci_4,mci_hysterectomy,Have you had a hysterectomy?,rename,2,NA,,NA,NA,NA,NA
mci_4i,mci_hyst_hormone_replace_therapy,"If yes, do you receive hormone replacement therapy?",rename,2,NA,,NA,NA,NA,NA
mci_5,mci_remove_ovaries,Have your ovaries been removed (an oophorectomy)?,rename,2,NA,,NA,NA,NA,NA
mci_5i,mci_overy_hormone_replace_therapy,"If yes, do you receive hormone replacement therapy?",rename,2,NA,,NA,NA,NA,NA
mci_phair,mci_public_hair,Public hair development,recode,2,"0 = No hair, 1 = Downey hair, 2 = Barely any coarse or thich hair, 3 = Coarse, thick, pigmented hair that fills the entire triangle overlaying the pubic region, 4 = Coarse, thick, pigmented hair that extends onto the thigh","1 = 0, 2 = 1, 3 = 2, 4 = 3, 5 = 4",NA,NA,NA,NA
mci_breast,mci_breasts,Breast development,recode,2,"0 = No breast tissue, 1 = Breast tissue under nipple, 2 = Breast tissue outside/around nipple, 3 = nipple elevated above contour of the breast, forming ""double scoop"" appearance, 4 = Nipple mound receded back into single breast contour

","1 = 0, 2 = 1, 3 = 2, 4 = 3, 5 = 4",NA,NA,NA,NA
"id,mci_today,mci_last_period,mci_regular,mci_reg_explain,mci_period_three_months,mci_lost_period,mci_last_lost_period_when,mci_lost_period_months,mci_cycle_days,mci_estimate,mci_first_period_age,mci_period_time_compare,mci_first_breasts,mci_breasts_time_compare,mci_birth_control,mci_birth_control_type,mci_hysterectomy,mci_hyst_hormone_replace_therapy,mci_remove_ovaries,mci_overy_hormone_replace_therapy,mci_public_hair,mci_breasts",NA,NA,select,3,NA,NA,NA,NA,NA,NA
